6l4h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.989		eval_len151-200_acc: 0.587		eval_len201-250_acc: 0.133		eval_len251-300_acc: 0.002		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
6l4h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 0.791		eval_len201-250_acc: 0.403		eval_len251-300_acc: 0.268		eval_len301-350_acc: 0.181		eval_len351-400_acc: 0.111		eval_len401-450_acc: 0.068		eval_len451-500_acc: 0.01 		lr: 0.0001
6l4h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 0.91		eval_len251-300_acc: 0.675		eval_len301-350_acc: 0.538		eval_len351-400_acc: 0.428		eval_len401-450_acc: 0.318		eval_len451-500_acc: 0.248 		lr: 0.001
6l4h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 0.85		eval_len201-250_acc: 0.271		eval_len251-300_acc: 0.106		eval_len301-350_acc: 0.092		eval_len351-400_acc: 0.088		eval_len401-450_acc: 0.097		eval_len451-500_acc: 0.103 		lr: 0.0001
6l8h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.613		eval_len151-200_acc: 0.165		eval_len201-250_acc: 0.138		eval_len251-300_acc: 0.146		eval_len301-350_acc: 0.136		eval_len351-400_acc: 0.128		eval_len401-450_acc: 0.146		eval_len451-500_acc: 0.148 		lr: 0.001
6l8h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.996		eval_len151-200_acc: 0.533		eval_len201-250_acc: 0.3		eval_len251-300_acc: 0.248		eval_len301-350_acc: 0.185		eval_len351-400_acc: 0.136		eval_len401-450_acc: 0.111		eval_len451-500_acc: 0.093 		lr: 0.0001
6l8h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.752		eval_len151-200_acc: 0.171		eval_len201-250_acc: 0.03		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
6l8h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 0.991		eval_len201-250_acc: 0.952		eval_len251-300_acc: 0.907		eval_len301-350_acc: 0.878		eval_len351-400_acc: 0.845		eval_len401-450_acc: 0.783		eval_len451-500_acc: 0.733 		lr: 0.0001
8l4h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.887		eval_len151-200_acc: 0.367		eval_len201-250_acc: 0.052		eval_len251-300_acc: 0.05		eval_len301-350_acc: 0.051		eval_len351-400_acc: 0.042		eval_len401-450_acc: 0.045		eval_len451-500_acc: 0.057 		lr: 0.001
8l4h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.818		eval_len151-200_acc: 0.48		eval_len201-250_acc: 0.237		eval_len251-300_acc: 0.093		eval_len301-350_acc: 0.05		eval_len351-400_acc: 0.014		eval_len401-450_acc: 0.006		eval_len451-500_acc: 0.004 		lr: 0.0001
8l4h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 1.0		eval_len251-300_acc: 0.695		eval_len301-350_acc: 0.211		eval_len351-400_acc: 0.006		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
8l4h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 1.0		eval_len251-300_acc: 1.0		eval_len301-350_acc: 1.0		eval_len351-400_acc: 1.0		eval_len401-450_acc: 0.976		eval_len451-500_acc: 0.943 		lr: 0.0001
8l8h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.985		eval_len151-200_acc: 0.647		eval_len201-250_acc: 0.297		eval_len251-300_acc: 0.072		eval_len301-350_acc: 0.051		eval_len351-400_acc: 0.042		eval_len401-450_acc: 0.04		eval_len451-500_acc: 0.0 		lr: 0.001
8l8h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.996		eval_len101-150_acc: 0.695		eval_len151-200_acc: 0.399		eval_len201-250_acc: 0.289		eval_len251-300_acc: 0.189		eval_len301-350_acc: 0.089		eval_len351-400_acc: 0.017		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
8l8h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 1.0		eval_len251-300_acc: 1.0		eval_len301-350_acc: 1.0		eval_len351-400_acc: 1.0		eval_len401-450_acc: 0.993		eval_len451-500_acc: 0.818 		lr: 0.001
8l8h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 1.0		eval_len251-300_acc: 1.0		eval_len301-350_acc: 1.0		eval_len351-400_acc: 0.996		eval_len401-450_acc: 0.955		eval_len451-500_acc: 0.904 		lr: 0.0001
12l4h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 1.0		eval_len251-300_acc: 1.0		eval_len301-350_acc: 0.844		eval_len351-400_acc: 0.627		eval_len401-450_acc: 0.598		eval_len451-500_acc: 0.585 		lr: 0.001
12l4h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 0.756		eval_len201-250_acc: 0.289		eval_len251-300_acc: 0.233		eval_len301-350_acc: 0.227		eval_len351-400_acc: 0.21		eval_len401-450_acc: 0.194		eval_len451-500_acc: 0.169 		lr: 0.0001
12l4h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 1.0		eval_len251-300_acc: 1.0		eval_len301-350_acc: 0.843		eval_len351-400_acc: 0.383		eval_len401-450_acc: 0.128		eval_len451-500_acc: 0.047 		lr: 0.001
12l4h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 0.908		eval_len251-300_acc: 0.575		eval_len301-350_acc: 0.25		eval_len351-400_acc: 0.009		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
12l8h64d		 >> early stop 48.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.954		eval_len151-200_acc: 0.939		eval_len201-250_acc: 0.909		eval_len251-300_acc: 0.893		eval_len301-350_acc: 0.86		eval_len351-400_acc: 0.859		eval_len401-450_acc: 0.809		eval_len451-500_acc: 0.783 		lr: 0.001
12l8h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.948		eval_len151-200_acc: 0.324		eval_len201-250_acc: 0.152		eval_len251-300_acc: 0.091		eval_len301-350_acc: 0.092		eval_len351-400_acc: 0.047		eval_len401-450_acc: 0.023		eval_len451-500_acc: 0.002 		lr: 0.0001
12l8h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 1.0		eval_len251-300_acc: 1.0		eval_len301-350_acc: 0.701		eval_len351-400_acc: 0.261		eval_len401-450_acc: 0.083		eval_len451-500_acc: 0.007 		lr: 0.001
12l8h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 1.0		eval_len251-300_acc: 0.985		eval_len301-350_acc: 0.691		eval_len351-400_acc: 0.436		eval_len401-450_acc: 0.243		eval_len451-500_acc: 0.145 		lr: 0.0001
12l12h768d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 1.0		eval_len251-300_acc: 0.713		eval_len301-350_acc: 0.41		eval_len351-400_acc: 0.205		eval_len401-450_acc: 0.165		eval_len451-500_acc: 0.119 		lr: 0.0001
