2l1h16d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.994		eval_len101-150_acc: 0.941		eval_len151-200_acc: 0.819		eval_len201-250_acc: 0.712		eval_len251-300_acc: 0.615		eval_len301-350_acc: 0.488		eval_len351-400_acc: 0.357		eval_len401-450_acc: 0.225		eval_len451-500_acc: 0.135 		lr: 0.001
2l1h16d		 reach max step		 eval_len0-50_acc: 0.978		eval_len51-100_acc: 0.993		eval_len101-150_acc: 0.997		eval_len151-200_acc: 0.7		eval_len201-250_acc: 0.038		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
2l1h16d		 >> early stop 96.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.965		eval_len151-200_acc: 0.247		eval_len201-250_acc: 0.002		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
2l1h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.881		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l1h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.956		eval_len151-200_acc: 0.717		eval_len201-250_acc: 0.444		eval_len251-300_acc: 0.193		eval_len301-350_acc: 0.012		eval_len351-400_acc: 0.002		eval_len401-450_acc: 0.002		eval_len451-500_acc: 0.0 		lr: 0.0001
2l1h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.605		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l1h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.961		eval_len101-150_acc: 0.42		eval_len151-200_acc: 0.015		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
2l2h16d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.96		eval_len101-150_acc: 0.794		eval_len151-200_acc: 0.56		eval_len201-250_acc: 0.367		eval_len251-300_acc: 0.19		eval_len301-350_acc: 0.032		eval_len351-400_acc: 0.009		eval_len401-450_acc: 0.003		eval_len451-500_acc: 0.0 		lr: 0.001
2l2h16d		 >> early stop 72.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 1.0		eval_len151-200_acc: 1.0		eval_len201-250_acc: 0.972		eval_len251-300_acc: 0.924		eval_len301-350_acc: 0.869		eval_len351-400_acc: 0.795		eval_len401-450_acc: 0.752		eval_len451-500_acc: 0.676 		lr: 0.0001
2l2h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.992		eval_len101-150_acc: 0.308		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l2h64d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 1.0		eval_len101-150_acc: 0.955		eval_len151-200_acc: 0.778		eval_len201-250_acc: 0.603		eval_len251-300_acc: 0.435		eval_len301-350_acc: 0.264		eval_len351-400_acc: 0.131		eval_len401-450_acc: 0.049		eval_len451-500_acc: 0.02 		lr: 0.0001
2l2h256d		 >> early stop 24.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.99		eval_len101-150_acc: 0.432		eval_len151-200_acc: 0.169		eval_len201-250_acc: 0.149		eval_len251-300_acc: 0.141		eval_len301-350_acc: 0.135		eval_len351-400_acc: 0.108		eval_len401-450_acc: 0.097		eval_len451-500_acc: 0.099 		lr: 0.001
